SITE_ID,LATITUDE,LONGITUDE,MAX_HEIGHT_M,SITE_NAME,STATUS
401742,-27.479203,153.041803,16.0,"Optus Site Shafston Hotel 3 Lytton Rd EAST BRISBANE",MATCHED_ABOVE_10M
13689,-27.970696,153.409402,50.8,"Gold Coast Hospital cnr Queen & Nerang Sts SOUTHPORT",MATCHED_ABOVE_10M
9000788,-27.474071,153.025546,25.5,"Vodafone Site State Works Building 80 George St BRISBANE",MATCHED_ABOVE_10M
9013733,-27.667253,152.859957,36.6,"Optus Site Power Stanchion Vic Cumner Road REDBANK PLAINS",MATCHED_ABOVE_10M
9012415,-27.581867,153.292309,40.0,"Optus Monopole Sewage Plant Off Link Road VICTORIA POINT",MATCHED_ABOVE_10M
9016643,-27.366288,153.18157,38.3,"Optus Site Light Pole Curlew Street PORT OF BRISBANE",MATCHED_ABOVE_10M
303153,-37.785436,144.977413,18.5,"Optus/Vodafone Site 600 Nicholson St FITZROY NORTH",MATCHED_ABOVE_10M
9015688,-27.557481,153.266535,12.1,"Optus Site Crystal Waters Shopping Centre Sign 51-55 Island Outlook Drive THORNLANDS",MATCHED_ABOVE_10M
9000627,-27.081492,153.1589,33.4,"Water Tower Welsby Pde Bongaree BRIBIE ISLAND",MATCHED_ABOVE_10M
9015177,-26.365741,152.869834,50.0,"Optus Monopole 398 Yurol Forest Drive POMONA",MATCHED_ABOVE_10M
133793,-27.466469,153.029208,34.0,"Hutchison Site 370 Queen St BRISBANE",MATCHED_ABOVE_10M
135886,-28.135132,153.471348,13.0,"Optus Site Currumbin 13 Guineas Creek Rd ELANORA",MATCHED_ABOVE_10M
304618,-38.080507,145.488683,31.0,"Telstra/Optus Site Pakenham Racecourse 61 Racecourse Rd PAKENHAM",MATCHED_ABOVE_10M
304364,-37.817483,144.959445,40.0,"Optus Site 454 Collins St MELBOURNE",MATCHED_ABOVE_10M
9001554,-37.803864,145.012246,11.0,"Caritas Christi Hospice 104 Studley Park Road KEW",MATCHED_ABOVE_10M
402336,-33.857634,150.898837,20.2,"Optus Site  Cinema Roof  Stockland Town Centre Polding St PRAIRIEWOOD",MATCHED_ABOVE_10M
9013070,-37.787815,144.911429,14.0,"Optus COW site Flemington Racecourse 400 Epson Road FLEMINGTON",MATCHED_ABOVE_10M
134873,-37.644177,144.410003,43.5,"Optus Site Bacchus Marsh Swans Rd BACCHUS MARSH",MATCHED_ABOVE_10M
300987,-37.909456,145.188713,21.1,"Vodafone/Optus Site Wheelers Hill Shopping Centre Jell Rd WHEELERS HILL",MATCHED_ABOVE_10M
303445,-37.79187,145.047839,28.0,"Hutchison Site Shops cnr Belford & Kilby Rds KEW EAST",MATCHED_ABOVE_10M
9014488,-37.768056,144.930423,10.0,"Optus Moonee Valley COW site Wilson Street MOONEE VALLEY",MATCHED_ABOVE_10M
9015278,-37.786873,144.913262,12.0,"Optus COW Site Big Day Out Epsom Road FLEMINGTON",MATCHED_ABOVE_10M
135796,-38.357783,144.757218,13.0,"Optus Site Sorrento South Cnr Melbourne & Hughes Road BLAIRGOWRIE",MATCHED_ABOVE_10M
300609,-37.824777,144.938677,32.0,"Broadcast/Comms Monopole  Pioneer Concrete Site 213 Boundary St PORT MELBOURNE",MATCHED_ABOVE_10M
9014845,-37.783367,144.91219,15.0,"STREOSONIC COW LANGS ROAD FLEMINGTON",MATCHED_ABOVE_10M
9001403,-37.786246,144.854597,16.2,"Skinner Reserve Grandstand Churchill Avenue BRAYBROOK",MATCHED_ABOVE_10M
137842,-35.284437,149.133987,10.0,"National Convention Centre Cnr Constitution Ave and Coranderrk Street REID ACT",MATCHED_ABOVE_10M
9013040,-31.953511,115.987244,27.0,"BTS Site 959",MATCHED_ABOVE_10M
603064,-31.866271,116.269965,45.0,"Telstra/Optus Site Reserve 23921 Old Northam Rd CHIDLOW",MATCHED_ABOVE_10M
50918,-35.325027,149.094529,20.0,"Optus Site Deakin High School Denison Street DEAKIN",MATCHED_ABOVE_10M
50898,-37.800724,144.901923,15.0,"Optus Site cnr Hopkins & Leed Sts FOOTSCRAY",MATCHED_ABOVE_10M
50922,-37.81789,145.125063,29.0,"CMTS Site 991 Whitehorse Rd BOX HILL",MATCHED_ABOVE_10M
135176,-32.038569,115.971512,33.5,"Optus Site Beckenham 1724 Albany Highway KENWICK",MATCHED_ABOVE_10M
205582,-32.53591,115.794333,36.0,"Optus Site Lot 20 Watson Drive BARRAGUP",MATCHED_ABOVE_10M
9001428,-31.952404,115.853929,18.9,"His Majesty's CPP 844-848 Hay Street PERTH",MATCHED_ABOVE_10M
9012972,-32.548329,115.776695,36.8,"Optus Monopole Barragup Self Storage 7 Douglas Place BARRAGUP",MATCHED_ABOVE_10M
9008611,-42.818683,147.345957,25.0,"Optus Monopole Risdon Vale Reservoir Sugarloaf Road RISDON VALE",MATCHED_ABOVE_10M
9012948,-31.973485,115.857928,14.0,"Optus COW Site South Perth Esplanade SOUTH PERTH",MATCHED_ABOVE_10M
9016693,-33.804989,150.878777,10.0,"Telstra Temp Site 2 400 Ferrers Rd EASTERN CREEK",MATCHED_ABOVE_10M
9007770,-32.90991,151.740071,25.2,"Telstra Site 24 Clyde St ISLINGTON",MATCHED_ABOVE_10M
134677,-33.865361,151.206926,61.2,"Optus Site Wynyard 275 George Street SYDNEY",MATCHED_ABOVE_10M
9004075,-34.0668,150.710137,40.0,"Elderslie Camden Bypas 50 - 52 MORT ST BRADDON",MATCHED_ABOVE_10M
101589,-33.787867,150.950597,13.0,"LJ Hooker 12 Aurelia St TOONGABBIE",MATCHED_ABOVE_10M
9002679,-33.874429,151.098167,17.4,"Telstra 1 Mt Pleasant Avenue BURWOOD",MATCHED_ABOVE_10M
9002678,-33.974429,151.216878,30.0,"Telstra 42 Friendship Road PORT BOTANY",MATCHED_ABOVE_10M
9002645,-34.041168,150.845821,16.8,"Telstra Cnr Alderney & Townson Ave MINTO",MATCHED_ABOVE_10M
9000201,-32.79722,151.84889,44.0,"Site Office Ford St WILLIAMTOWN RAAF",MATCHED_ABOVE_10M
3536,-33.870552,151.224867,93.0,"81 Macleay St POTTS POINT",MATCHED_ABOVE_10M
3710,-33.886561,151.229112,34.0,"Telstra International Exchange Building 363 Oxford Street PADDINGTON",MATCHED_ABOVE_10M
4378,-33.643235,151.314145,34.6,"Comms (Telstra) Monopole Sydney Water Board Site off Plateau Road BILGOLA PLATEAU",MATCHED_ABOVE_10M
201125,-33.823422,151.195873,21.2,"Telstra Exchange 524 Pacific Hwy ST LEONARDS",MATCHED_ABOVE_10M
4570,-33.877269,151.1014,35.3,"Telstra Site Bicentennial Centre Railway Pde BURWOOD",MATCHED_ABOVE_10M
204937,-33.868456,151.25103,30.2,"CMTS Site 25 Wolseley Rd POINT PIPER",MATCHED_ABOVE_10M
202618,-33.587248,150.710663,33.9,"Optus/Vodafone Site 99 Grose Vale Rd (near Water Tower) NORTH RICHMOND",MATCHED_ABOVE_10M
9011634,-32.929989,151.63546,27.0,"Waratah Golf Course 456 Lake Rd ARGENTON",MATCHED_ABOVE_10M
10201,-33.64636,150.8194,31.0,"Telstra Site Fairey Rd SOUTH WINDSOR",MATCHED_ABOVE_10M
4062,-33.828419,151.200944,33.0,"270-272 Pacific Highway CROWS NEST",MATCHED_ABOVE_10M
3361,-33.867126,151.212964,73.0,"NSW Parliament House Macquarie Street SYDNEY",MATCHED_ABOVE_10M
9001059,-33.813779,151.009727,37.0,"Telstra Parramatta 34 Charles Street PARRAMATTA",MATCHED_ABOVE_10M
9010215,-34.361468,150.912206,37.6,"3GIS RBS Site 9 Pioneer Dr BELLAMBI",MATCHED_ABOVE_10M
101956,-33.962816,150.983602,32.0,"Hutchison Site East Hills Shopping Centre 31 Mackaurin St EAST HILLS",MATCHED_ABOVE_10M
3330,-33.870653,151.207485,43.0,"Telstra Site George & Market Sts SYDNEY",MATCHED_ABOVE_10M
130847,-33.773935,151.120463,32.3,"112-118 Talavera Road Optus Site MACQUARIE PARK",MATCHED_ABOVE_10M
9007566,-32.881339,151.68429,30.0,"Telstra Site Aden St SHORTLAND",MATCHED_ABOVE_10M
3464,-33.877397,151.212371,39.6,"CMTS Site 1 Oxford St SYDNEY",MATCHED_ABOVE_10M
205337,-33.888598,150.855936,23.0,"HV Tower Pye Hill Reserve off Louis Pl CECIL HILLS",MATCHED_ABOVE_10M
101429,-33.831085,151.24451,13.0,"Telstra Site 143A Raglan St MOSMAN",MATCHED_ABOVE_10M
4169,-33.736022,151.158484,40.5,"Vodafone Site Water Board Rosedale Rd ST IVES",MATCHED_ABOVE_10M
132338,-33.834139,151.209145,42.6,"Telstra/Hutchison Site 54 McLaren St NORTH SYDNEY",MATCHED_ABOVE_10M
